RMP_Link,Real_Name,RMP_Name,Match Status
https://www.ratemyprofessors.com/professor/2064652,Cecilia Vargas,Cecilia Arias,bad
https://www.ratemyprofessors.com/professor/941352,Jack Maranhao,Jack Harris,bad
https://www.ratemyprofessors.com/professor/281585,Donna Bassolino,Donna Mugavero,bad
https://www.ratemyprofessors.com/professor/2434307,Rijo Urakath,Rijo Urakath,good
https://www.ratemyprofessors.com/professor/2449457,Jianyuan Zhang,Jianyuan Zhang,good
https://www.ratemyprofessors.com/professor/2376199,Andrew Nieuwkoop,Andrew Nieuwkoop,good
https://www.ratemyprofessors.com/professor/2380978,Deirdre O'Carroll,Deirdre O'Carroll,good
https://www.ratemyprofessors.com/professor/2002589,David Case,David Awad,bad
https://www.ratemyprofessors.com/professor/688179,Jane Kimmel,Jane Hinch,bad
https://www.ratemyprofessors.com/professor/210274,Sara Foroughiasl,Sara Soffer,bad
https://www.ratemyprofessors.com/professor/1886697,Qi Jorgensen,Fei QI,bad
https://www.ratemyprofessors.com/professor/386752,John Baker,John Taylor,bad
https://www.ratemyprofessors.com/professor/2525891,Taro Jones,Sophia Jones,bad
https://www.ratemyprofessors.com/professor/817024,Tai-Sung Lee,J.K. Lee,bad
https://www.ratemyprofessors.com/professor/1797147,Sagar Khare,Sagar Khare,good
https://www.ratemyprofessors.com/professor/386752,John Brennan,John Taylor,bad
https://www.ratemyprofessors.com/professor/803231,Setareh Marvasti,Setareh Marvasti,good
https://www.ratemyprofessors.com/professor/817024,Joon Lee,J.K. Lee,bad
https://www.ratemyprofessors.com/professor/106707,Spencer Knapp,Spencer Knapp,good
https://www.ratemyprofessors.com/professor/2509667,Buvaneswari Narayanan,Bhargav Narayanan,bad
https://www.ratemyprofessors.com/professor/3009063,Yuwei Gu,Yuwei Gu,good
https://www.ratemyprofessors.com/professor/759964,Eddy Arnold,Edward Arnold,bad
https://www.ratemyprofessors.com/professor/2714517,Maria Sousa,Maria Wilson,bad
https://www.ratemyprofessors.com/professor/817024,KiBum Lee,J.K. Lee,bad
https://www.ratemyprofessors.com/professor/266606,Alan Goldman,Alan Leslie,bad
https://www.ratemyprofessors.com/professor/2486800,Enver Izgu,Enver Izgu,good
https://www.ratemyprofessors.com/professor/2906937,Rohan Khan,Rohan Khan,good
https://www.ratemyprofessors.com/professor/1802129,Steven Young,Steven Nichol,bad
https://www.ratemyprofessors.com/professor/2906043,Rick Remsing,Richard Remsing,bad
https://www.ratemyprofessors.com/professor/2906937,Sara Khan,Rohan Khan,bad
https://www.ratemyprofessors.com/professor/817024,Ki Bum Lee,J.K. Lee,bad
https://www.ratemyprofessors.com/professor/771912,Patrick Depaolo,Patrick O'Connor,bad
https://www.ratemyprofessors.com/professor/2331518,Jean Rivera Rios,Cristian Rivera,bad
