RMP_Link,Real_Name,RMP_Name,Match Status
https://www.ratemyprofessors.com/professor/1795909,Sevil Salur,Sevil Salur,good
https://www.ratemyprofessors.com/professor/1643628,Seongshik Oh,Seongshik Oh,good
https://www.ratemyprofessors.com/professor/2242455,Rebecca Jackson,Rebecca Givan,bad
https://www.ratemyprofessors.com/professor/1579636,Robert Chant,Robert Lindner,bad
https://www.ratemyprofessors.com/professor/343925,Mark Croft,Mark Croft,good
https://www.ratemyprofessors.com/professor/951608,Andrew Baker,Andrew Baker,good
https://www.ratemyprofessors.com/professor/1048131,Eric Gawiser,Eric Gawiser,good
https://www.ratemyprofessors.com/professor/1098835,Eva Halkiadakis,Eva Halkiadakis,good
https://www.ratemyprofessors.com/professor/2679687,Patrick Makowski,Patrick Makowski,good
https://www.ratemyprofessors.com/professor/60663,Abdelbaki Brahmia,Abdelbaki Brahmia,good
https://www.ratemyprofessors.com/professor/1679447,Hamza Khan,Faraz Khan,bad
https://www.ratemyprofessors.com/professor/2743305,Thomas Mainiero,Thomas Davidson,bad
https://www.ratemyprofessors.com/professor/2561368,Jak Chakhalian,Jak Chakhalian,good
https://www.ratemyprofessors.com/professor/1815764,John Paul Chou,John Chou,bad
https://www.ratemyprofessors.com/professor/2653430,Jedediah Pixley,Sara Pixley,bad
https://www.ratemyprofessors.com/professor/641000,Eva Andrei,Eva Andrei,good
https://www.ratemyprofessors.com/professor/2702343,Kristen Mcquinn,Kristen McQuinn,bad
https://www.ratemyprofessors.com/professor/829855,Charles Keeton,Charles Keeton,good
https://www.ratemyprofessors.com/professor/1335977,Yuri Gershtein,Yuri Gershtein,good
https://www.ratemyprofessors.com/professor/2366092,Jolie Cizewski,Jolie Cizewski,good
https://www.ratemyprofessors.com/professor/390269,Sunil Somalwar,Sunil Somalwar,good
https://www.ratemyprofessors.com/professor/326226,Frank Zimmermann,Frank Zimmerman,bad
https://www.ratemyprofessors.com/professor/2397463,Grace Montalvo,Roy Montalvo,bad
https://www.ratemyprofessors.com/professor/2764408,Julie Koft,Julie Peters,bad
https://www.ratemyprofessors.com/professor/816921,John Baker,John Hughes,bad
https://www.ratemyprofessors.com/professor/1518055,Gyan Bhanot,Gyan Bhanot,good
https://www.ratemyprofessors.com/professor/268692,Sarah Zanzoul,Sarah Brett-Smith,bad
